spp,t_c,block,plant,sample,area,dry_wt,SLA
BA,C,A,1,1,33.79,0.084,402.2619048
BA,C,A,1,2,48.95,0.128,382.421875
BA,C,A,1,3,20.46,0.048,426.25
BA,C,A,2,1,17.39,0.05,347.8
BA,C,A,2,2,42.93,0.131,327.7099237
BA,C,A,2,3,23.42,0.066,354.8484848
BA,C,A,3,1,40.39,0.129,313.1007752
BA,C,A,3,2,42.78,0.157,272.4840764
BA,C,A,3,3,50.08,0.152,329.4736842
BA,C,A,4,1,32.15,0.086,373.8372093
BA,C,A,4,2,38.51,0.108,356.5740741
BA,C,A,4,3,28.17,0.07,402.4285714
BA,C,A,5,1,21.19,0.048,441.4583333
BA,C,A,5,2,33.91,0.096,353.2291667
BA,C,A,5,3,19.3,0.048,402.0833333
BA,C,A,6,1,15.91,0.05,318.2
BA,C,A,6,2,34.42,0.098,351.2244898
BA,C,A,6,3,31.82,0.082,388.0487805
BA,C,A,7,1,32.11,0.086,373.372093
BA,C,A,7,2,47.59,0.144,330.4861111
BA,C,A,7,3,43.57,0.14,311.2142857
BA,C,A,8,1,9.98,0.026,383.8461538
BA,C,A,8,2,26.23,0.074,354.4594595
BA,C,A,8,3,37.65,0.111,339.1891892
BA,T,A,1,1,34.95,0.087,401.7241379
BA,T,A,1,2,44.35,0.123,360.5691057
BA,T,A,1,3,44.18,0.114,387.5438596
BA,T,A,2,1,29.31,0.074,396.0810811
BA,T,A,2,2,35.6,0.11,323.6363636
BA,T,A,2,3,34.95,0.123,284.1463415
BA,T,A,3,1,28.11,0.088,319.4318182
BA,T,A,3,2,37.74,0.09,419.3333333
BA,T,A,3,3,43.86,0.12,365.5
BA,T,A,4,1,24.54,0.062,395.8064516
BA,T,A,4,2,37.93,0.086,441.0465116
BA,T,A,4,3,39.22,0.102,384.5098039
BA,T,A,5,1,25.22,0.066,382.1212121
BA,T,A,5,2,37.39,0.092,406.4130435
BA,T,A,5,3,41.51,0.099,419.2929293
BA,T,A,6,1,33.54,0.098,342.244898
BA,T,A,6,2,41.17,0.124,332.016129
BA,T,A,6,3,50.22,0.139,361.294964
BA,T,A,7,1,34.01,0.084,404.8809524
BA,T,A,7,2,39.27,0.104,377.5961538
BA,T,A,7,3,52.02,0.124,419.516129
BA,T,A,8,1,29.19,0.07,417
BA,T,A,8,2,41.03,0.109,376.4220183
BA,T,A,8,3,23.54,0.057,412.9824561
BA,C,B,1,1,37.5,0.099,378.7878788
BA,C,B,1,2,46.77,0.146,320.3424658
BA,C,B,1,3,17.13,0.066,259.5454545
BA,C,B,2,1,37.88,0.099,382.6262626
BA,C,B,2,2,48.99,0.119,411.6806723
BA,C,B,2,3,57.28,0.15,381.8666667
BA,C,B,3,1,16.01,0.032,500.3125
BA,C,B,3,2,31.43,0.091,345.3846154
BA,C,B,3,3,33.33,0.084,396.7857143
BA,C,B,4,1,19.98,0.056,356.7857143
BA,C,B,4,2,30.83,0.102,302.254902
BA,C,B,4,3,40.13,0.099,405.3535354
BA,C,B,5,1,36.65,0.102,359.3137255
BA,C,B,5,2,36.05,0.127,283.8582677
BA,C,B,5,3,35.56,0.106,335.4716981
BA,C,B,6,1,33.06,0.078,423.8461538
BA,C,B,6,2,36.46,0.091,400.6593407
BA,C,B,6,3,49.77,0.11,452.4545455
BA,C,B,7,1,32.69,0.089,367.3033708
BA,C,B,7,2,44.49,0.124,358.7903226
BA,C,B,7,3,38.44,0.08,480.5
BA,C,B,8,1,30,0.076,394.7368421
BA,C,B,8,2,45.82,0.138,332.0289855
BA,C,B,8,3,41.85,0.103,406.3106796
BA,T,B,1,1,32.48,0.089,364.9438202
BA,T,B,1,2,38.53,0.114,337.9824561
BA,T,B,1,3,42.22,0.125,337.76
BA,T,B,2,1,28.75,0.057,504.3859649
BA,T,B,2,2,35.46,0.092,385.4347826
BA,T,B,2,3,41.78,0.102,409.6078431
BA,T,B,3,1,32.53,0.08,406.625
BA,T,B,3,2,42.11,0.121,348.0165289
BA,T,B,3,3,51.76,0.155,333.9354839
BA,T,B,4,1,38.96,0.111,350.990991
BA,T,B,4,2,29.16,0.07,416.5714286
BA,T,B,4,3,28.32,0.077,367.7922078
