spp,t_c,block,sample,date,pre_post,time,F700_Lvl,F735_Lvl,CFR,concentration
PB,T,A,8,9/2/16,post,11:50:25,441,591,1.34,460
PB,T,B,8,8/24/16,pre,10:43:34,316,328,1.04,268
PB,T,B,8,8/24/16,post,14:50:25,451,521,1.16,344
PB,T,B,8,8/26/16,pre,9:05:58,343,414,1.21,376
PB,T,B,8,8/26/16,post,13:58:59,376,492,1.31,441
PB,T,B,8,8/29/16,pre,11:40:20,420,555,1.32,447
PB,T,B,8,8/31/16,post,9:46:14,266,336,1.26,409
PB,T,B,8,8/31/16,pre,13:53:35,660,755,1.14,333
PB,T,B,8,9/2/16,post,8:39:07,397,432,1.09,301
PB,T,B,8,9/2/16,pre,11:02:10,571,680,1.19,364
SF,C,A,1,8/24/16,na,14:10:58,238,231,0.97,224
SF,C,A,1,8/26/16,na,13:35:30,268,268,1,243
SF,C,A,1,8/29/16,na,13:07:22,331,355,1.07,288
SF,C,A,1,8/31/16,na,11:59:10,207,217,1.05,276
SF,C,A,1,9/2/16,na,11:25:12,481,535,1.11,314
SF,C,B,1,8/24/16,na,14:00:06,274,250,0.91,186
SF,C,B,1,8/26/16,na,13:43:10,248,244,0.98,230
SF,C,B,1,8/29/16,na,13:02:14,340,359,1.06,282
SF,C,B,1,8/31/16,na,11:53:52,240,258,1.08,295
SF,C,B,1,9/2/16,na,11:20:24,483,499,1.03,263
SF,C,A,2,8/24/16,na,14:11:06,260,227,0.87,160
SF,C,A,2,8/26/16,na,13:35:46,227,217,0.96,217
SF,C,A,2,8/29/16,na,13:07:31,322,322,1,244
SF,C,A,2,8/31/16,na,11:59:19,240,243,1.01,250
SF,C,A,2,9/2/16,na,11:25:20,485,478,0.99,237
SF,C,B,2,8/24/16,na,14:00:23,304,288,0.95,211
SF,C,B,2,8/26/16,na,13:43:26,248,233,0.94,205
SF,C,B,2,8/29/16,na,13:02:26,351,354,1.01,250
